timestamp,open,high,low,close,volume
2024-01-09,458.0,462.7,450.0,450.75,392142
2024-01-08,456.95,459.9,449.05,450.1,983164
2024-01-05,455.55,463.0,453.5,456.75,2049364
2024-01-04,456.75,459.7,451.55,452.55,1359112
2024-01-03,460.3,464.0,455.0,455.9,790818
2024-01-02,479.85,479.85,464.2,469.15,1498428
2024-01-01,472.25,483.4,468.2,477.3,1836900
2023-12-29,471.75,475.35,466.15,471.7,1411874
2023-12-28,472.05,477.65,468.0,469.2,585774
2023-12-27,469.95,475.4,464.05,470.95,959530
2023-12-26,453.0,475.7,449.0,470.05,4425528
2023-12-22,434.15,466.15,432.9,462.7,3988754
2023-12-21,427.05,436.3,427.05,434.1,371634
2023-12-20,442.0,449.45,429.35,431.7,757054
2023-12-19,445.05,447.45,434.8,438.6,390046
2023-12-18,448.45,453.3,442.0,444.95,854120
2023-12-15,436.0,449.5,433.8,446.45,1385256
2023-12-14,424.0,435.9,423.75,434.35,872508
2023-12-13,423.05,424.5,415.05,419.6,384030
2023-12-12,420.4,427.8,420.3,422.15,394086
2023-12-11,421.95,422.05,417.0,420.35,456416
2023-12-08,418.5,424.5,415.25,422.0,1052706
2023-12-07,419.55,421.5,416.7,418.2,1298378
2023-12-06,406.45,420.45,406.0,418.85,831810
2023-12-05,407.35,409.1,402.05,404.3,752254
2023-12-04,413.0,413.0,406.65,407.3,1303302
2023-12-01,414.0,414.0,406.45,407.7,1447776
2023-11-30,406.25,414.5,404.05,413.25,849136
2023-11-29,398.85,408.25,397.95,406.15,2161336
2023-11-28,396.5,398.45,393.2,396.95,183584
2023-11-24,400.55,403.6,395.6,395.95,930500
2023-11-23,400.05,404.95,400.05,402.15,388156
2023-11-22,403.0,403.0,399.0,400.2,158054
2023-11-21,402.25,402.7,400.0,400.45,147304
2023-11-20,391.55,401.0,391.55,400.0,851916
2023-11-17,398.0,399.0,394.55,395.4,311210
2023-11-16,392.0,399.5,389.2,397.05,352332
2023-11-15,384.55,392.2,384.15,391.4,1135524
2023-11-13,383.0,383.0,380.0,381.7,302314
